cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Ashland County,Wisconsin",0.0,3.0,2.0,5.0,2.0,11.0,10.0,1.0,3.0,6.0,Ashland County,Wisconsin,18,17,12,4,11,19,8,6,2,0
"Ashley County,Arkansas",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashley County,Arkansas,0,0,0,0,0,0,0,0,0,0
"Ashtabula County,Ohio",0.0,0.0,0.0,7.0,1.0,2.0,7.0,6.0,3.0,4.0,Ashtabula County,Ohio,0,2,0,1,0,1,3,0,1,1
"Asotin County,Washington",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Asotin County,Washington,0,0,0,0,0,0,0,0,0,0
"Atascosa County,Texas",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Atascosa County,Texas,0,0,0,0,0,0,0,0,0,0
"Atchison County,Kansas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Atchison County,Kansas,0,0,0,0,0,0,0,0,0,0
"Atchison County,Missouri",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Atchison County,Missouri,0,0,0,0,0,0,0,0,0,0
"Athens County,Ohio",1.0,0.0,1.0,5.0,2.0,11.0,4.0,4.0,7.0,2.0,Athens County,Ohio,1,0,0,1,1,0,0,0,0,2
"Atlantic County,New Jersey",2.0,2.0,7.0,7.0,5.0,11.0,8.0,10.0,12.0,15.0,Atlantic County,New Jersey,124,123,97,67,101,114,93,66,75,94
"Atoka County,Oklahoma",0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Atoka County,Oklahoma,0,0,0,0,0,0,0,0,0,0
"Audrain County,Missouri",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Audrain County,Missouri,0,0,0,0,0,1,0,0,0,0
"Auglaize County,Ohio",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Auglaize County,Ohio,0,1,0,0,0,0,0,0,0,0
"Augusta County,Virginia",1.0,0.0,4.0,3.0,6.0,4.0,18.0,22.0,10.0,4.0,Augusta County,Virginia,35,35,25,17,27,43,14,50,39,25
"Autauga County,Alabama",2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Autauga County,Alabama,0,0,0,0,0,0,2,0,0,1
"Avery County,North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Avery County,North Carolina,0,0,0,0,1,0,0,0,0,0
"Baca County,Colorado",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baca County,Colorado,0,0,0,0,0,0,0,0,0,0
