cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Clayton County,Georgia",0,0,0,3,0,3,1,2,1,1,Clayton County,Georgia,0,0,1,0,0,0,0,0,0,0
"Clinch County,Georgia",0,0,0,0,0,0,0,0,0,0,Clinch County,Georgia,0,0,0,0,0,0,0,0,0,0
"Cobb County,Georgia",3,3,7,4,20,19,33,16,39,29,Cobb County,Georgia,1,5,2,0,0,0,0,0,4,2
"Coffee County,Georgia",0,0,0,0,0,0,0,0,0,0,Coffee County,Georgia,0,0,0,0,0,0,0,0,0,0
"Colquitt County,Georgia",0,0,0,0,0,0,0,0,0,2,Colquitt County,Georgia,0,0,0,0,0,0,0,0,0,0
"Columbia County,Georgia",0,0,0,0,0,0,3,0,0,0,Columbia County,Georgia,0,0,0,0,0,1,0,1,0,0
"Cook County,Georgia",0,0,0,0,0,0,0,1,0,0,Cook County,Georgia,0,0,0,0,0,0,0,0,0,0
"Coweta County,Georgia",2,0,0,0,2,3,0,1,6,1,Coweta County,Georgia,0,0,0,0,0,0,0,0,0,0
"Crawford County,Georgia",0,0,0,0,0,0,1,0,0,0,Crawford County,Georgia,0,0,0,0,0,0,0,0,0,0
"Crisp County,Georgia",0,0,0,0,0,0,0,0,0,0,Crisp County,Georgia,0,0,0,0,0,0,0,0,0,0
"Dade County,Georgia",0,0,0,0,0,0,10,8,3,0,Dade County,Georgia,0,0,0,0,0,0,0,0,0,0
"Dawson County,Georgia",0,0,0,0,0,0,0,0,0,1,Dawson County,Georgia,0,0,0,0,0,0,0,0,0,0
"Decatur County,Georgia",0,0,0,0,0,0,0,0,0,0,Decatur County,Georgia,0,0,0,1,0,0,0,0,0,0
"DeKalb County,Georgia",16,4,9,11,10,20,9,17,14,19,DeKalb County,Georgia,1,3,0,0,0,0,0,1,0,1
"Dodge County,Georgia",0,0,0,0,0,0,0,0,1,0,Dodge County,Georgia,0,0,0,0,0,0,0,0,0,0
"Dooly County,Georgia",0,0,0,0,0,0,0,0,0,0,Dooly County,Georgia,0,0,0,0,0,0,0,0,0,0
"Dougherty County,Georgia",1,0,0,0,0,1,0,5,2,1,Dougherty County,Georgia,0,0,1,0,0,0,0,0,0,1
"Douglas County,Georgia",0,0,0,0,0,2,1,1,0,4,Douglas County,Georgia,0,0,1,0,0,0,0,0,0,0
"Early County,Georgia",0,0,0,0,0,0,0,0,0,0,Early County,Georgia,0,0,0,0,0,0,0,0,0,0
"Echols County,Georgia",0,0,0,0,0,0,0,0,0,0,Echols County,Georgia,0,0,0,0,0,0,0,0,0,0
"Effingham County,Georgia",0,0,0,0,0,0,0,1,0,0,Effingham County,Georgia,0,0,0,0,1,1,0,0,0,0
"Elbert County,Georgia",0,0,0,0,0,0,0,0,0,0,Elbert County,Georgia,0,0,0,0,0,0,0,0,0,0
"Emanuel County,Georgia",0,0,0,0,0,0,0,2,0,0,Emanuel County,Georgia,0,0,0,0,0,1,0,0,0,0
"Evans County,Georgia",0,0,0,0,0,0,0,2,0,1,Evans County,Georgia,0,0,0,0,0,0,0,0,0,0
"Fannin County,Georgia",0,0,0,1,0,1,0,1,0,2,Fannin County,Georgia,0,0,0,1,0,0,0,0,0,0
"Fayette County,Georgia",0,0,5,1,1,6,2,4,3,2,Fayette County,Georgia,0,0,1,0,0,0,0,0,0,0
"Floyd County,Georgia",2,1,0,0,4,1,1,1,1,2,Floyd County,Georgia,0,0,0,0,0,0,0,1,0,0
"Forsyth County,Georgia",0,3,3,5,4,11,4,6,1,5,Forsyth County,Georgia,1,1,2,0,1,0,0,0,1,1
"Franklin County,Georgia",0,0,0,0,0,0,0,0,1,0,Franklin County,Georgia,0,2,0,0,0,0,0,0,0,0
"Fulton County,Georgia",253,186,358,350,297,680,695,540,372,413,Fulton County,Georgia,1,2,1,1,0,0,0,0,0,3
"Gilmer County,Georgia",0,0,0,1,0,0,0,1,1,1,Gilmer County,Georgia,0,0,1,0,0,0,0,0,0,0
"Glascock County,Georgia",0,0,0,0,0,0,0,0,0,0,Glascock County,Georgia,0,0,0,0,0,0,0,0,0,0
"Glynn County,Georgia",0,0,0,1,0,162,205,36,3,6,Glynn County,Georgia,0,0,1,0,0,0,0,0,0,1
"Gordon County,Georgia",0,1,0,1,0,0,2,1,1,1,Gordon County,Georgia,0,0,0,0,0,0,0,0,0,0
"Grady County,Georgia",0,0,0,0,0,0,0,1,2,3,Grady County,Georgia,0,0,0,0,0,0,0,0,0,0
"Greene County,Georgia",0,0,0,0,0,0,0,0,0,0,Greene County,Georgia,0,0,0,0,0,0,0,0,0,0
"Gwinnett County,Georgia",0,6,6,9,5,7,14,11,20,17,Gwinnett County,Georgia,1,1,2,2,1,1,0,0,2,1
"Habersham County,Georgia",0,1,2,2,9,0,1,1,0,0,Habersham County,Georgia,0,0,0,0,0,0,0,0,0,0
"Hall County,Georgia",3,2,0,5,3,6,11,16,5,5,Hall County,Georgia,0,0,2,0,0,0,0,0,1,0
"Hancock County,Georgia",0,0,0,0,0,0,0,0,0,0,Hancock County,Georgia,0,0,0,0,0,0,0,0,0,0
